
Thu, 24 Mar 2016 12:40:20 PM,
4935,
4935,sextet_rand,1,CAMEL,ANTELOPE,DESERT,CORK,ENGINE,PAMPHLET,DESERT,CAMEL,THEMATIC,BASE,5.12284997478,DESERT,CAMEL,4.08488895698,0.317544907797,0.720416110009,3,2,4,1,0,5,
4935,sextet_rand,2,COCONUT,ORANGE,BEACH,CYMBAL,SOCIETY,ROD,BEACH,COCONUT,THEMATIC,BASE,13.8286472051,BEACH,COCONUT,3.61309577804,0.16350090364,10.0520505235,4,3,1,5,0,2,
4935,sextet_rand,3,PACKAGE,CRATE,DELIVERY,TROUT,CHILD,BILL,PACKAGE,DELIVERY,BASE,THEMATIC,6.59451304516,PACKAGE,DELIVERY,1.69449728634,0.220482323319,4.6795334355,5,0,1,3,4,2,
4935,sextet_rand,4,SHIP,CANOE,SAILOR,UMBRELLA,BANANA,CHAIR,SAILOR,SHIP,THEMATIC,BASE,5.80219404073,SAILOR,SHIP,2.92089940049,0.187362483703,2.69393215654,2,0,4,1,3,5,
4935,sextet_rand,5,SHAMPOO,BLEACH,SHOWER,TEAM,SAUCE,CIRCLE,SHOWER,SHAMPOO,THEMATIC,BASE,5.49462646805,SHOWER,SHAMPOO,4.39521894371,0.409949724562,0.689457799774,4,1,2,0,3,5,
4935,sextet_rand,6,CRIB,BED,BABY,FERRY,BOWL,PATIO,CRIB,BABY,BASE,THEMATIC,4.44596804678,CRIB,BABY,2.2649226333,0.333686359692,1.84735905379,4,1,2,3,5,0,
4935,sextet_rand,7,RABBI,PASTOR,TEMPLE,DRIVEWAY,GLOVES,APPLE,TEMPLE,RABBI,THEMATIC,BASE,10.969121146,TEMPLE,RABBI,6.98312887829,0.197515945882,3.78847632185,1,4,5,0,2,3,
4935,sextet_rand,8,OVEN,MICROWAVE,PAN,SCREEN,BASKETBALL,BOOT,OVEN,MICROWAVE,BASE,TAXONOMIC,14.8512444445,OVEN,MICROWAVE,3.39868454263,0.294061074033,11.1584988278,5,0,3,4,2,1,
4935,sextet_rand,9,FOOTBALL,BASEBALL,QUARTERBACK,CLOUD,PLANT,NECKLACE,QUARTERBACK,FOOTBALL,THEMATIC,BASE,3.47225567792,QUARTERBACK,FOOTBALL,1.72302755853,0.178733248729,1.57049487066,5,2,0,4,1,3,
4935,sextet_rand,10,MONKEY,BEAR,BANANA,AIRPLANE,HAMMER,PLUG,MONKEY,BANANA,BASE,THEMATIC,6.28891829494,MONKEY,BANANA,3.19585068384,0.170650604181,2.92241700692,1,5,3,2,4,0,
