
Wed, 23 Mar 2016 4:07:16 PM,
88888888,
88888888,triad_rand,1,CITY,VILLAGE,AIRPORT,WHALE,NECK,CABINET,AIRPORT,CITY,THEMATIC,BASE,19.9472691356,AIRPORT,CITY,6.66824673396,0.360820196103,12.9182022056,3.15485464817,5.24924975056,1.06045954578,2,0,1,
88888888,triad_rand,2,LAWNMOWER,SCISSORS,GRASS,BOMB,AUNT,INTERNET,LAWNMOWER,GRASS,BASE,THEMATIC,5.20234189415,LAWNMOWER,GRASS,4.53642023634,0.287044461351,0.378877196461,5.74043643437,1.55164622958,3.64604133198,1,0,2,
88888888,triad_rand,3,CIGARETTES,ALCOHOL,LUNGS,OUTLET,SOCK,CARPET,CIGARETTES,LUNGS,BASE,THEMATIC,3.12099732971,CIGARETTES,LUNGS,2.20442165108,0.251481685787,0.665093992837,5.8968729918,1.70808278702,3.80247788941,2,1,0,
88888888,triad_rand,4,CAR,BIKE,SEATBELT,SHRIMP,COTTON,BISCUIT,CAR,SEATBELT,BASE,THEMATIC,5.13631376578,CAR,SEATBELT,4.09323612368,0.630491639487,0.412586002611,2.36926163659,4.46365673898,0.274866534198,1,0,2,
88888888,triad_rand,5,RABBI,PASTOR,TEMPLE,DRIVEWAY,GLOVES,APPLE,RABBI,TEMPLE,BASE,THEMATIC,3.21930968808,RABBI,TEMPLE,2.42237131996,0.300823427271,0.496114940848,2.97351140694,5.06790650933,0.879116304545,1,0,2,
88888888,triad_rand,6,ROCKET,MISSILE,ASTRONAUT,BUG,CHEESE,WATER,ASTRONAUT,ROCKET,THEMATIC,BASE,3.11791576771,ASTRONAUT,ROCKET,2.32798540406,0.322702915408,0.467227448244,2.27455310437,4.36894820677,0.18015800198,2,1,0,
88888888,triad_rand,7,CAPTAIN,PILOT,SHIP,EAR,BENCH,FREEZER,CAPTAIN,SHIP,BASE,THEMATIC,4.95701604942,CAPTAIN,SHIP,2.59034823533,0.378843427636,1.98782438645,1.36735790172,3.46175300412,5.55614810651,0,2,1,
88888888,triad_rand,8,CAKE,DONUT,CANDLE,BROCHURE,LAKE,DRUM,CANDLE,CAKE,THEMATIC,BASE,46.0854170085,CAKE,CANDLE,CAKE,DONUT,CANDLE,CONFIRM,DONUT,CANDLE,CAKE,DONUT,2.21169616375,0.355403956957,31.8202258795,0.562772756908,0.214301983826,3.28495311784,2.0969635956,0.180265422445,0.156385302544,0.954303957056,4.24814487202,5.35449885098,1.16570864619,3.26010374858,2,0,1,
88888888,triad_rand,9,RECEPTIONIST,HOSTESS,TELEPHONE,PARK,HAND,STRING,RECEPTIONIST,TELEPHONE,BASE,THEMATIC,4.71383120818,RECEPTIONIST,TELEPHONE,4.02343284944,0.197319292929,0.493079065811,0.954089119325,3.04848422172,5.14287932411,2,0,1,
88888888,triad_rand,10,FOOTBALL,BASEBALL,QUARTERBACK,CLOUD,PLANT,NECKLACE,FOOTBALL,QUARTERBACK,BASE,THEMATIC,2.35033467505,FOOTBALL,QUARTERBACK,1.93374343589,0.143672038335,0.272919200826,4.89365150033,0.70486129554,2.79925639793,2,1,0,
88888888,triad_rand,11,BEE,BUTTERFLY,HONEY,ASPHALT,COACH,PLIERS,BEE,HONEY,BASE,THEMATIC,2.13100677822,BEE,HONEY,1.54295349261,0.320549662225,0.267503623385,0.226760360477,2.32115546287,4.41555056526,1,0,2,
