
Fri, 19 Feb 2016 4:39:59 PM,
4779,
4779,sextet_rand,1,PACKAGE,CRATE,DELIVERY,TROUT,CHILD,BILL,DELIVERY,PACKAGE,THEMATIC,BASE,22.4123803561,PACKAGE,DELIVERY,CHILD,CRATE,PACKAGE,PACKAGE,9.33818701173,0.90941315869,2.16179924893,2.19554269833,0.995603085161,0.234959661015,6.57687549226,5,1,0,2,4,3,
4779,sextet_rand,2,SHAMPOO,BLEACH,SHOWER,TEAM,SAUCE,CIRCLE,SHOWER,SHAMPOO,THEMATIC,BASE,12.25178156,SHOWER,SHAMPOO,6.75074150968,1.34980584514,4.15123420516,4,3,2,1,0,5,
4779,sextet_rand,3,SUBMARINE,AIRPLANE,OCEAN,SHEET,CROW,DOCTOR,SUBMARINE,AIRPLANE,BASE,TAXONOMIC,7.69996162922,SUBMARINE,AIRPLANE,5.80955773612,0.646496455753,1.24390743734,1,5,3,2,0,4,
4779,sextet_rand,4,GARLIC,ONION,VAMPIRE,HOUSE,FOOT,CODE,ONION,GARLIC,TAXONOMIC,BASE,7.23933704286,ONION,GARLIC,4.23721721409,0.594527709909,2.40759211886,4,2,1,0,3,5,
4779,sextet_rand,5,SILVER,GOLD,BULLET,STAIRS,BALLOON,LIBRARY,SILVER,GOLD,BASE,TAXONOMIC,7.04685308227,SILVER,GOLD,5.97295902338,0.199435396542,0.874458662351,3,0,1,2,4,5,
4779,sextet_rand,6,SPIDER,BEE,WEB,PEPPER,SHED,TOILET,WEB,SPIDER,THEMATIC,BASE,21.1664507551,WEB,SPIDER,19.3304463095,1.55605329799,0.279951147604,3,5,1,4,0,2,
4779,sextet_rand,7,RABBI,PASTOR,TEMPLE,DRIVEWAY,GLOVES,APPLE,TEMPLE,RABBI,THEMATIC,BASE,5.1986510963,TEMPLE,RABBI,4.07304387612,0.505611106928,0.619996113252,4,2,1,0,5,3,
4779,sextet_rand,8,PANDA,RACOON,BAMBOO,WHIP,FENDER,LAW,PANDA,BAMBOO,BASE,THEMATIC,6.33777549415,PANDA,BAMBOO,3.84508564234,0.353619749134,2.13907010267,4,0,2,1,3,5,
4779,sextet_rand,9,SHIP,CANOE,SAILOR,UMBRELLA,BANANA,CHAIR,SHIP,CANOE,BASE,TAXONOMIC,5.84643176505,SHIP,CANOE,3.68369592458,0.479625575274,1.68311026519,3,5,2,1,4,0,
4779,sextet_rand,10,SURGEON,BUTCHER,KIDNEY,PENGUIN,MOVIE,HOUSE,BUTCHER,SURGEON,TAXONOMIC,BASE,8.89147390505,BUTCHER,SURGEON,6.1208471237,0.56934534933,2.20128143202,3,4,2,0,1,5,
4779,sextet_rand,11,FLY,ANT,WINGS,CEREAL,BUSINESS,CONCRETE,FLY,WINGS,BASE,THEMATIC,4.51284693033,FLY,WINGS,2.22304220422,0.456164768591,1.83363995752,1,0,2,3,4,5,
