
Fri, 18 Mar 2016 11:19:41 AM,
4914,
4914,triad_base,1,LAWNMOWER,SCISSORS,GRASS,BOMB,AUNT,INTERNET,LAWNMOWER,GRASS,BASE,THEMATIC,13.8890468804,GRASS,11.9642554689,1.9247914115,0,2,1,
4914,triad_base,2,SPIDER,BEE,WEB,PEPPER,SHED,TOILET,SPIDER,BEE,BASE,TAXONOMIC,5.48732315237,BEE,4.80995654408,0.677366608288,0,2,1,
4914,triad_base,3,WAITRESS,STEWARDESS,RESTAURANT,SWAN,BEACH,CALCIUM,WAITRESS,STEWARDESS,BASE,TAXONOMIC,4.2561050225,STEWARDESS,3.40048289299,0.855622129515,0,2,1,
4914,triad_base,4,TRUCK,BUS,TRAILER,CLIMATE,CACTUS,CLUB,TRUCK,BUS,BASE,TAXONOMIC,4.21461616503,BUS,3.76683751866,0.447778646369,0,2,1,
4914,triad_base,5,ROCKET,MISSILE,ASTRONAUT,BUG,CHEESE,WATER,ROCKET,MISSILE,BASE,TAXONOMIC,6.30572585156,MISSILE,5.92471261788,0.38101323368,0,1,2,
4914,triad_base,6,TORTILLA,BAGEL,BEANS,COLD,KNOB,SALESMAN,TORTILLA,BAGEL,BASE,TAXONOMIC,2.18839507783,BAGEL,1.68848612113,0.499908956699,0,1,2,
4914,triad_base,7,SUBMARINE,AIRPLANE,OCEAN,SHEET,CROW,DOCTOR,SUBMARINE,AIRPLANE,BASE,TAXONOMIC,3.87568737613,AIRPLANE,3.57490798039,0.300779395737,0,1,2,
4914,triad_base,8,RECEPTIONIST,HOSTESS,TELEPHONE,PARK,HAND,STRING,RECEPTIONIST,HOSTESS,BASE,TAXONOMIC,2.46717348462,HOSTESS,1.99785535457,0.469318130054,0,2,1,
4914,triad_base,9,RIVER,LAKE,RAPIDS,GLASS,BUDGET,FEATHER,RIVER,LAKE,BASE,TAXONOMIC,3.36165050976,LAKE,2.61527485447,0.74637565529,0,1,2,
4914,triad_base,10,SAXOPHONE,HARP,JAZZ,SODA,HAIR,PILOT,SAXOPHONE,HARP,BASE,TAXONOMIC,1.64239809569,HARP,1.39132163487,0.251076460816,0,2,1,
4914,triad_base,11,BISCUITS,TOAST,GRAVY,SNAIL,PELICAN,DANCE,BISCUITS,TOAST,BASE,TAXONOMIC,3.21670883382,TOAST,2.9396463423,0.277062491514,0,1,2,
4914,triad_base,12,CAKE,DONUT,CANDLE,BROCHURE,LAKE,DRUM,CAKE,DONUT,BASE,TAXONOMIC,1.02251314837,DONUT,0.79973455146,0.222778596915,0,2,1,
4914,triad_base,13,PENGUIN,GOOSE,ICE,VOLCANO,HEAD,BRICK,PENGUIN,GOOSE,BASE,TAXONOMIC,0.811862490606,GOOSE,0.658992115874,0.152870374732,0,1,2,
4914,triad_base,14,MONKEY,BEAR,BANANA,AIRPLANE,HAMMER,PLUG,MONKEY,BEAR,BASE,TAXONOMIC,0.914052294102,BEAR,0.809963827953,0.104088466149,0,1,2,
4914,triad_base,15,COW,BUFFALO,FARM,SKY,SLIDE,CHALK,COW,BUFFALO,BASE,TAXONOMIC,1.09307986032,BUFFALO,0.898967934772,0.19411192555,0,1,2,
4914,triad_base,16,COW,PIG,GRASS,CHISEL,PARCEL,HOTEL,COW,PIG,BASE,TAXONOMIC,1.06546995183,PIG,0.912788615096,0.152681336738,0,1,2,
4914,triad_base,17,CHISEL,KNIFE,SCULPTURE,HAMSTER,BOTTLE,MIRROR,CHISEL,KNIFE,BASE,TAXONOMIC,2.22112624673,KNIFE,2.05064349296,0.170482753776,0,1,2,
4914,triad_base,18,SHAMPOO,BLEACH,SHOWER,TEAM,SAUCE,CIRCLE,SHAMPOO,SHOWER,BASE,THEMATIC,4.14052558737,BLEACH,SHOWER,SHOWER,SHOWER,SHOWER,SHOWER,BLEACH,SHOWER,1.18073719135,0.893756294623,0.728915567044,0.394144634716,0.0812627915293,0.000208240468055,0.25261724228,0.249863103963,0.359020521399,0,1,2,
4914,triad_base,19,ROBBERY,TREASON,BANK,STEW,TUB,SHORE,ROBBERY,TREASON,BASE,TAXONOMIC,2.75946865231,TREASON,1.31088783266,1.44858081965,0,1,2,
4914,triad_base,20,CUP,BOWL,TEA,LAMP,PHONE,TRUCK,CUP,BOWL,BASE,TAXONOMIC,1.31940450473,BOWL,1.10348095978,0.215923544951,0,2,1,
