
Wed, 24 Feb 2016 2:46:15 PM,
4796,
4796,sextet_base,1,CUP,BOWL,TEA,LAMP,PHONE,TRUCK,CUP,BOWL,BASE,TAXONOMIC,12.2578752318,BOWL,10.7115451974,1.54633003435,0,4,5,2,1,3,
4796,sextet_base,2,SILVER,GOLD,BULLET,STAIRS,BALLOON,LIBRARY,SILVER,GOLD,BASE,TAXONOMIC,6.61847891076,GOLD,6.00407376679,0.614405143977,0,2,1,5,4,3,
4796,sextet_base,3,CROUTONS,BAGEL,SALAD,METAL,SHARK,SPOT,CROUTONS,BAGEL,BASE,TAXONOMIC,7.76891363351,BAGEL,7.14339294948,0.625520684029,0,1,3,5,4,2,
4796,sextet_base,4,POLICE,FIREMAN,HANDCUFFS,CARAVAN,CRAB,LAUNDRY,POLICE,FIREMAN,BASE,TAXONOMIC,6.00351790703,FIREMAN,5.39260252949,0.610915377532,0,3,2,5,1,4,
4796,sextet_base,5,RIVER,LAKE,RAPIDS,GLASS,BUDGET,FEATHER,RIVER,RAPIDS,BASE,THEMATIC,6.11282960104,RAPIDS,5.60506146905,0.507768131996,0,1,3,2,5,4,
4796,sextet_base,6,BEER,JUICE,PARTY,SHOP,SNOW,WOUND,BEER,JUICE,BASE,TAXONOMIC,3.30146966808,JUICE,3.00299349852,0.298476169555,0,1,4,5,2,3,
4796,sextet_base,7,BICYCLE,CAR,HELMET,FISH,BEER,BANK,BICYCLE,CAR,BASE,TAXONOMIC,3.92813451609,CAR,3.3057543239,0.622380192188,0,3,4,2,5,1,
4796,sextet_base,8,TORTILLA,BAGEL,BEANS,COLD,KNOB,SALESMAN,TORTILLA,BAGEL,BASE,TAXONOMIC,4.67895969804,BAGEL,3.96016250044,0.718797197595,0,1,2,3,5,4,
4796,sextet_base,9,GARLIC,ONION,VAMPIRE,HOUSE,FOOT,CODE,GARLIC,ONION,BASE,TAXONOMIC,3.9402250454,ONION,3.06663298621,0.873592059186,0,1,4,2,5,3,
4796,sextet_base,10,SUBMARINE,AIRPLANE,OCEAN,SHEET,CROW,DOCTOR,SUBMARINE,AIRPLANE,BASE,TAXONOMIC,5.15730434167,AIRPLANE,3.14628447971,2.01101986197,0,2,4,5,3,1,
4796,sextet_base,11,SHOE,GLOVE,FOOT,WALL,CARD,TIGER,SHOE,FOOT,BASE,THEMATIC,13.5366513207,FOOT,GLOVE,GLOVE,GLOVE,8.36763386487,1.52909573301,0.371309690381,1.9386488403,1.32996319211,0,4,5,2,1,3,
4796,sextet_base,12,CHISEL,KNIFE,SCULPTURE,HAMSTER,BOTTLE,MIRROR,CHISEL,KNIFE,BASE,TAXONOMIC,5.0856047218,KNIFE,4.50980286347,0.575801858329,0,4,3,1,5,2,
4796,sextet_base,13,CAMEL,ANTELOPE,DESERT,CORK,ENGINE,PAMPHLET,CAMEL,ANTELOPE,BASE,TAXONOMIC,5.03227694597,ANTELOPE,4.42943692961,0.602840016363,0,5,1,2,3,4,
4796,sextet_base,14,CAKE,DONUT,CANDLE,BROCHURE,LAKE,DRUM,CAKE,DONUT,BASE,TAXONOMIC,4.69099791892,DONUT,4.08767918116,0.603318737762,0,1,5,2,4,3,
4796,sextet_base,15,SNOW,RAIN,SLED,CEMETARY,WORK,NOVEL,SNOW,RAIN,BASE,TAXONOMIC,4.20244353174,RAIN,3.49014284174,0.712300690007,0,2,3,4,1,5,
4796,sextet_base,16,BISCUITS,TOAST,GRAVY,SNAIL,PELICAN,DANCE,BISCUITS,TOAST,BASE,TAXONOMIC,5.74608266188,TOAST,5.28720138676,0.458881275117,0,2,1,5,3,4,
4796,sextet_base,17,SPOON,LADLE,CEREAL,LION,TREE,STEREO,SPOON,LADLE,BASE,TAXONOMIC,4.81295269134,LADLE,4.3628837303,0.450068961043,0,3,2,1,5,4,
4796,sextet_base,18,MILK,LEMONADE,COW,GUITAR,LEAF,WINDOW,MILK,LEMONADE,BASE,TAXONOMIC,4.82372359172,LEMONADE,4.18399918426,0.639724407461,0,2,4,3,1,5,
