
Wed, 02 Mar 2016 11:52:51 AM,
4851,
4851,sextet_rand,1,CHISEL,KNIFE,SCULPTURE,HAMSTER,BOTTLE,MIRROR,CHISEL,SCULPTURE,BASE,THEMATIC,18.8620983617,CHISEL,CHISEL,CHISEL,CHISEL,CHISEL,CHISEL,CHISEL,CHISEL,CHISEL,CHISEL,SCULPTURE,SCULPTURE,SCULPTURE,SCULPTURE,CHISEL,SCULPTURE,8.57488133013,0.000443956581876,0.000408532680012,0.000402904697694,0.000400918186642,0.000406215200201,0.000409857020713,0.000401580356993,0.000398600706831,0.000500899506733,0.000378074822947,0.000346292741597,0.000340002472512,0.175080431974,2.77689711144,0.685589389526,6.64481226366,1,4,3,2,0,5,
4851,sextet_rand,2,PANDA,RACOON,BAMBOO,WHIP,FENDER,LAW,BAMBOO,PANDA,THEMATIC,BASE,5.8756239725,BAMBOO,PANDA,3.70250045857,0.873777629691,1.29934588424,1,3,5,0,4,2,
4851,sextet_rand,3,PENGUIN,GOOSE,ICE,VOLCANO,HEAD,BRICK,ICE,PENGUIN,THEMATIC,BASE,7.52912070137,ICE,PENGUIN,5.80578143301,0.651035931776,1.07230333658,4,2,0,5,3,1,
4851,sextet_rand,4,LAWNMOWER,SCISSORS,GRASS,BOMB,AUNT,INTERNET,GRASS,LAWNMOWER,THEMATIC,BASE,6.32679802401,GRASS,LAWNMOWER,4.56613926007,0.355731674121,1.40492708981,2,1,0,5,3,4,
4851,sextet_rand,5,SNOW,RAIN,SLED,CEMETARY,WORK,NOVEL,SLED,SNOW,THEMATIC,BASE,5.65162721148,SLED,SNOW,2.45584569243,0.725009816,2.47077170305,3,1,2,0,5,4,
4851,sextet_rand,6,MILK,LEMONADE,COW,GUITAR,LEAF,WINDOW,MILK,COW,BASE,THEMATIC,4.74924269156,MILK,COW,3.57544711814,0.427921124734,0.745874448679,3,2,1,4,5,0,
4851,sextet_rand,7,NEEDLE,PIN,THREAD,WAX,HYDRANT,WRIST,NEEDLE,THREAD,BASE,THEMATIC,21.2971251082,NEEDLE,PIN,THREAD,THREAD,THREAD,PIN,THREAD,8.23207239958,2.07602416235,7.53676529508,0.00035225180909,1.00184104568,0.608921970241,0.319090528064,1.52205745538,5,0,3,2,1,4,
4851,sextet_rand,8,PENCIL,PEN,ERASER,FLUTE,MINT,SHEEP,PENCIL,PEN,BASE,TAXONOMIC,12.8782383831,PENCIL,ERASER,PEN,PEN,ERASER,PEN,3.2927848621,0.42449958052,3.34314595337,0.793822416104,0.921335272957,1.00401712791,3.09863317013,1,4,5,0,2,3,
4851,sextet_rand,9,ROCKET,MISSILE,ASTRONAUT,BUG,CHEESE,WATER,ASTRONAUT,ROCKET,THEMATIC,BASE,5.47228433343,ASTRONAUT,ROCKET,3.97100907576,0.313416094868,1.1878591628,0,5,3,1,4,2,
4851,sextet_rand,10,COW,PIG,GRASS,CHISEL,PARCEL,HOTEL,COW,PIG,BASE,TAXONOMIC,5.42419235338,COW,PIG,4.43551903847,0.513418346178,0.47525496874,2,4,0,3,1,5,
4851,sextet_rand,11,CRIB,BED,BABY,FERRY,BOWL,PATIO,BED,CRIB,TAXONOMIC,BASE,3.63821747317,BED,CRIB,2.34200477658,0.59251246287,0.703700233717,2,1,4,0,3,5,
